02N,Airedale Wharfdale Craven,393242.7911,460443.7689,1.210 ,1.023 ,1.073 ,1.335 ,1.312 ,1.072 ,1.095 ,1.086,0.982,0.991,1.124,1.054,0.933,1.47,156255
09C,Ashford,596841.8361,139982.5556,0.931 ,1.103 ,0.972 ,0.809 ,1.036 ,1.014 ,0.883 ,0.739,1.12,1.191,1.061,1.035,0.983,0.478,123906
10Y,Aylesbury Vale,476341.8684,218954.561,0.942 ,0.721 ,0.921 ,0.813 ,0.872 ,0.959 ,0.819 ,0.802,0.492,0.958,1.035,0.873,0.856,0.904,201066
07L,Barking Dagenham,548042.8065,185073.0351,0.641 ,0.657 ,1.159 ,0.584 ,0.549 ,0.878 ,0.911 ,0.896,0.862,0.882,0.555,0.907,0.71,0.43,205188
07M,Barnet,524039.4074,192317.9881,0.792 ,0.686 ,0.959 ,0.709 ,0.739 ,0.853 ,0.600 ,1.15,1.143,0.687,0.905,0.74,0.92,1.115,371541
02P,Barnsley,431081.8702,404466.1563,1.409 ,1.402 ,1.106 ,1.028 ,1.196 ,1.128 ,1.715 ,0.852,0.518,1.087,1.065,1.111,1.035,1.059,249339
99E,Basildon  Brentwood,564588.246,193749.556,0.953 ,1.184 ,0.946 ,1.087 ,1.025 ,1.087 ,1.028 ,0.932,0.832,1.181,1.005,0.991,1.347,0.644,263956
02Q,Bassetlaw,469431.6209,382264.2174,1.148 ,1.596 ,1.169 ,1.241 ,1.129 ,1.063 ,1.356 ,0.827,1.464,1.07,1.112,1.108,0.919,2.041,112041
11E,Bath North East Somerset,367010.0874,161986.7691,0.869 ,0.764 ,0.737 ,1.070 ,1.027 ,0.923 ,0.759 ,0.947,1.536,0.886,1.101,0.894,0.958,0.989,198017
06F,Bedfordshire,506142.2233,243453.2321,0.907 ,0.840 ,0.993 ,0.871 ,0.865 ,0.988 ,0.821 ,0.91,0.944,1.028,1.062,0.905,1.086,0.896,444594
07N,Bexley,548796.5136,175463.5926,0.861 ,0.852 ,1.097 ,0.899 ,0.891 ,1.018 ,0.989 ,0.862,0.977,1.057,0.949,0.908,1.071,1.163,226250
13P,Birmingham Crosscity,409642.6761,288854.1454,0.924 ,0.983 ,1.229 ,0.872 ,0.894 ,0.925 ,0.892 ,1.198,1.061,0.978,0.833,1.05,0.887,0.863,735475
04X,Birmingham South Central,405763.684,280794.8715,0.798 ,0.976 ,1.270 ,0.853 ,0.782 ,0.828 ,0.768 ,1.347,1.094,0.97,0.721,0.951,0.792,0.63,245582
00Q,Blackburn with Darwen,369214.8289,421917.8553,1.132 ,0.850 ,1.211 ,1.110 ,0.975 ,0.890 ,1.191 ,1.332,1.02,0.962,0.804,1.098,0.818,0.674,168236
00R,Blackpool,332340.4483,436221.5758,1.414 ,1.977 ,1.154 ,1.742 ,1.288 ,1.260 ,1.841 ,1.573,1.209,1.112,1.178,1.429,1.041,1.356,172550
00T,Bolton,369143.4091,409225.3578,1.028 ,1.327 ,1.226 ,1.052 ,1.006 ,1.020 ,1.224 ,1.035,1.079,0.98,0.916,1.126,1.043,0.944,295196
10G,Bracknell  Ascot,488636.9528,168411.2363,0.725 ,0.663 ,0.818 ,0.715 ,0.747 ,0.817 ,0.553 ,0.729,0.564,0.769,0.929,0.85,0.953,0.885,137005
02W,Bradford City,416397.3584,433373.2976,0.701 ,0.639 ,1.466 ,0.656 ,0.502 ,0.632 ,0.625 ,1.07,0.737,0.724,0.324,0.786,0.504,0.563,120184
02R,Bradford Districts,413034.6753,435118.9102,1.045 ,1.013 ,1.219 ,1.117 ,1.045 ,0.948 ,1.307 ,1.075,1.156,0.955,0.88,1.12,0.881,1.311,332760
07P,Brent,520172.1591,185822.6778,0.663 ,0.522 ,1.310 ,0.730 ,0.612 ,0.877 ,0.416 ,1.354,0.758,0.727,0.609,0.676,0.646,0.626,348013
09D,Brighton  Hove,531470.3516,106676.5609,0.678 ,0.876 ,0.662 ,0.730 ,0.738 ,0.718 ,0.690 ,1.366,1.036,0.689,0.83,0.87,1.019,0.789,300871
11H,Bristol,358373.6257,174383.7315,0.708 ,1.007 ,0.763 ,0.806 ,0.891 ,0.778 ,0.906 ,1.06,1.533,0.765,0.834,0.942,0.79,0.674,478502
07Q,Bromley,542896.9062,165637.1726,0.896 ,0.906 ,0.838 ,0.971 ,0.882 ,0.993 ,0.727 ,0.932,0.921,0.889,1.037,0.777,0.947,0.689,332439
00V,Bury,379391.9629,410188.6985,1.075 ,1.055 ,1.041 ,1.193 ,1.079 ,0.973 ,1.127 ,1.192,0.671,0.922,0.919,1.197,0.943,0.593,195984
02T,Calderdale,401849.4742,424963.4177,1.139 ,1.047 ,0.939 ,0.901 ,1.053 ,0.977 ,1.104 ,1.085,0.992,0.946,1.033,1.276,1.313,1.115,212212
06H,Cambridgeshire  Peterborough,534005.0241,276606.8213,0.871 ,0.836 ,0.892 ,0.847 ,0.839 ,0.924 ,0.887 ,0.893,1.135,1.007,1.034,0.888,1.025,1.43,876277
07R,Camden,527859.5575,184651.8216,0.475 ,0.512 ,0.611 ,0.781 ,0.524 ,0.596 ,0.607 ,1.629,1.018,0.549,0.705,0.59,0.768,0.659,241944
04Y,Cannock Chase,400115.2444,311054.5538,1.224 ,0.936 ,1.116 ,1.197 ,1.118 ,1.140 ,1.208 ,0.677,0.781,1.414,1.136,1.245,1.228,1.011,132488
09E,Canterbury  Coastal,615303.8417,158048.4923,0.981 ,1.065 ,0.920 ,0.851 ,1.082 ,0.997 ,0.942 ,0.941,1.426,0.961,1.151,1.011,0.957,0.522,208376
99F,Castle Point  Rochford,587941.2325,190828.2513,1.111 ,0.941 ,1.070 ,1.156 ,0.995 ,1.240 ,1.135 ,0.696,0.722,1.233,1.085,0.914,1.398,0.907,180658
09A,Central London (Westminster),528090.6982,180915.3803,0.563 ,0.372 ,0.631 ,0.660 ,0.585 ,0.587 ,0.495 ,1.504,1.074,0.522,0.706,0.538,0.658,0.737,191438
00W,Central Manchester,385565.3518,395313.2314,0.582 ,0.499 ,0.893 ,0.617 ,0.539 ,0.627 ,0.759 ,1.339,0.849,0.518,0.517,0.786,0.489,0.915,208789
10H,Chiltern,490519.1944,192741.9465,0.854 ,0.805 ,0.896 ,0.741 ,0.945 ,0.947 ,0.680 ,0.792,0.929,0.794,1.096,0.813,0.827,0.956,328513
00X,Chorley  South Ribble,356829.8564,419232.1007,1.224 ,1.171 ,1.063 ,1.293 ,1.123 ,1.058 ,1.203 ,0.894,0.709,1.154,1.125,1.088,1.223,0.696,174760
07T,City  Hackney,534121.0229,184914.4321,0.471 ,0.419 ,0.910 ,0.843 ,0.500 ,0.691 ,0.565 ,1.582,0.648,0.56,0.545,0.646,0.418,0.478,280396
09G,Coastal West Sussex,497464.9693,113599.196,1.271 ,1.083 ,1.043 ,1.158 ,1.284 ,1.153 ,1.027 ,1.015,1.434,1.037,1.397,0.97,1.217,1.307,490990
03V,Corby,488639.2792,289820.9412,1.013 ,0.974 ,0.964 ,1.080 ,1.058 ,0.858 ,1.492 ,0.925,1.449,1.084,0.937,1.058,1.019,0.533,70729
05A,Coventry Rugby,442968.3986,277246.1493,0.798 ,0.897 ,0.987 ,0.915 ,0.880 ,0.983 ,0.894 ,1.014,1.005,0.961,0.854,0.966,0.822,0.585,470967
09H,Crawley,527329.4806,137826.734,0.853 ,1.060 ,0.988 ,0.833 ,0.801 ,0.856 ,0.823 ,0.791,1.862,1.014,0.817,0.921,1.4,0.541,127077
