02N,Airedale Wharfdale Craven,393242.7911,460443.7689,4.11,0.918,2.229,4.487,6.4,14.693,1.959,0.925,0.28,0.732,2.139,0.815,3.048,6.578,Q52,West Yorkshire Area Team,0,156255
09C,Ashford,596841.8361,139982.5556,3.151,0.643,1.796,4.232,6.063,14.164,1.634,0.63,0.246,0.88,2.142,0.85,3.233,5.805,Q67,Kent and Medway Area Team,11,123906
10Y,Aylesbury Vale,476341.8684,218954.561,3.203,0.625,1.497,3.181,5.437,13.235,1.464,0.683,0.082,0.708,1.976,0.681,2.785,6.447,Q69,Thames Valley Area Team,10,201066
07L,Barking Dagenham,548042.8065,185073.0351,2.18,0.421,0.933,2.828,6.795,12.027,1.597,0.763,0.227,0.652,1.126,0.685,2.274,4.606,Q61,North East London Area Team,1,205188
07M,Barnet,524039.4074,192317.9881,2.701,0.526,1.274,3.123,5.878,11.789,1.06,0.98,0.252,0.508,1.779,0.582,2.965,4.545,Q61,North East London Area Team,2,371541
02P,Barnsley,431081.8702,404466.1563,4.828,0.746,2.057,6.343,6.79,15.765,3.077,0.726,0.119,0.803,2.107,0.885,3.409,5.941,Q51,South Yorkshire and Bassetlaw Area Team,1,249339
99E,Basildon  Brentwood,564588.246,193749.556,3.251,0.815,1.755,4.574,5.793,15.015,1.862,0.794,0.262,0.873,1.959,0.772,4.318,6.307,Q57,Essex Area Team,7,263956
02Q,Bassetlaw,469431.6209,382264.2174,3.935,0.901,1.935,6.668,6.826,14.683,2.431,0.705,0.331,0.791,2.134,0.852,2.991,6.178,Q51,South Yorkshire and Bassetlaw Area Team,2,112041
11E,Bath North East Somerset,367010.0874,161986.7691,2.938,0.779,1.759,3.379,4.595,12.809,1.358,0.807,0.367,0.655,2.188,0.73,3.073,6.231,Q64,Bath Gloucestershire Swindon and Wiltshire Area Team,2,198017
06F,Bedfordshire,506142.2233,243453.2321,3.079,0.64,1.475,3.511,6.013,13.558,1.441,0.775,0.213,0.76,1.976,0.7,3.475,6.594,Q58,Hertfordshire and the South Midlands Area Team,11,444594
07N,Bexley,548796.5136,175463.5926,2.956,0.67,1.529,3.663,6.718,14.117,1.719,0.734,0.268,0.781,1.894,0.713,3.417,5.23,Q63,South London Area Team,11,226250
13P,Birmingham Crosscity,409642.6761,288854.1454,3.147,0.646,1.548,4.331,7.178,12.855,1.595,1.021,0.283,0.723,1.65,0.82,2.892,6.264,Q54,Birmingham and the Black Country Area Team,12,735475
